GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Insgesamt;Sprach- und Kulturwissenschaften;2014;24035;565;592;22877;6026;16851;0
Insgesamt;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;1144;18;0;1125;114;1012;0
Insgesamt;  Altphilologie (klass. Philologie);2014;20;-;-;20;-;20;-
Insgesamt;  Anglistik, Amerikanistik;2014;366;-;1;365;15;351;-
Insgesamt;  Bibliothekswissenschaft, Dokumentation;2014;18;-;13;5;-;5;-
Insgesamt;  Erziehungswissenschaften;2014;5451;251;175;5025;2379;2646;-
Insgesamt;  Evangelische Theologie;2014;209;-;2;207;82;125;-
Insgesamt;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;2464;3;13;2448;331;2117;-
Insgesamt;  Geschichte;2014;2062;-;11;2052;553;1498;-
Insgesamt;  Katholische Theologie;2014;83;-;-;83;-;83;-
Insgesamt;  Kulturwissenschaften i.e.S.;2014;304;-;-;304;-;304;-
Insgesamt;  Philosophie;2014;534;-;0;534;-;534;-
Insgesamt;  Psychologie;2014;8074;-;193;7881;2297;5584;-
Insgesamt;  Romanistik;2014;130;-;2;128;40;88;-
Insgesamt;  Slawistik, Baltistik, Finno-Ugristik;2014;578;-;28;551;151;400;-
Insgesamt;  Sonderpädagogik;2014;66;-;-;66;66;0;-
Insgesamt;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;2042;293;130;1618;-;1618;-
Insgesamt;  Sprach- und Kulturwissenschaften allgemein;2014;492;-;26;466;-;466;-
Insgesamt;Sport;2014;3033;387;228;2417;1458;960;-
Insgesamt;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;34918;7324;4732;22852;7362;15490;10
Insgesamt;  Politikwissenschaften;2014;510;-;6;504;4;500;-
Insgesamt;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;2439;1347;207;885;75;810;-
Insgesamt;  Rechtswissenschaften;2014;816;49;89;679;18;661;-
Insgesamt;  Regionalwissenschaften;2014;243;-;0;242;-;242;-
Insgesamt;  Sozialwesen;2014;1251;488;140;623;263;360;-
Insgesamt;  Sozialwissenschaften;2014;4344;844;37;3463;481;2982;-
Insgesamt;  Verwaltungswissenschaften;2014;1503;-;1459;44;44;-;-
Insgesamt;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Insgesamt;  Wirtschaftswissenschaften;2014;23813;4596;2794;16412;6477;9935;10
Insgesamt;Mathematik, Naturwissenschaften;2014;114668;245;5708;108195;32199;75996;520
Insgesamt;  Biologie;2014;26483;3;909;25570;6177;19393;-
Insgesamt;  Chemie;2014;24143;36;786;22944;5739;17205;378
Insgesamt;  Geographie;2014;935;1;16;844;241;603;74
Insgesamt;  Geowissenschaften (ohne Geographie);2014;7657;6;1168;6482;3363;3119;-
Insgesamt;  Informatik;2014;27769;192;2241;25336;7012;18324;-
Insgesamt;  Mathematik;2014;3559;4;103;3452;1237;2216;-
Insgesamt;  Mathematik, Naturwissenschaften allgemein;2014;723;-;3;720;195;525;-
Insgesamt;  Pharmazie;2014;379;-;0;379;53;327;-
Insgesamt;  Physik, Astronomie;2014;23020;3;482;22467;8184;14283;68
Insgesamt;Humanmedizin/Gesundheitswissenschaften;2014;762928;1930;681798;78702;23260;55441;498
Insgesamt;  Gesundheitswissenschaften allgemein;2014;3522;1915;879;728;133;595;-
Insgesamt;  Humanmedizin allgemein;2014;22610;15;6547;16046;4124;11922;3
Insgesamt;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;668000;-;636566;30949;5142;25808;485
Insgesamt;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;48358;-;25074;23273;10715;12558;11
Insgesamt;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;8510;-;1427;7083;2933;4150;-
Insgesamt;  Zahnmedizin (klinisch-praktisch);2014;11927;-;11304;622;213;409;-
Insgesamt;Veterinärmedizin;2014;9119;360;5605;3154;955;2199;-
Insgesamt;  Klinisch-Praktische Veterinärmedizin;2014;4751;0;3901;850;273;577;-
Insgesamt;  Klinisch-Theoretische Veterinärmedizin;2014;2676;360;406;1910;677;1233;-
Insgesamt;  Veterinärmedizin allgemein;2014;1318;-;1158;159;-;159;-
Insgesamt;  Vorklinische Veterinärmedizin;2014;374;-;139;235;5;230;-
Insgesamt;Agrar-, Forst- und Ernährungswissenschaften;2014;4177;46;98;4028;2325;1702;7
Insgesamt;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Insgesamt;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;442;3;10;429;239;190;-
Insgesamt;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Insgesamt;  Forstwissenschaft, Holzwirtschaft;2014;3185;41;88;3050;1766;1285;7
Insgesamt;  Landespflege, Umweltgestaltung;2014;550;2;0;548;321;227;-
Insgesamt;Ingenieurwissenschaften;2014;242476;1514;13456;227295;90919;136376;212
Insgesamt;  Architektur;2014;1685;16;38;1631;966;664;-
Insgesamt;  Bauingenieurwesen;2014;14605;64;2194;12345;5249;7096;2
Insgesamt;  Bergbau, Hüttenwesen;2014;11291;38;239;11013;4624;6389;1
Insgesamt;  Elektrotechnik;2014;53276;178;3642;49354;13487;35867;102
Insgesamt;  Ingenieurwissenschaften allgemein;2014;9968;1170;578;8220;2929;5291;-
Insgesamt;  Maschinenbau/Verfahrenstechnik;2014;141382;10;6116;135148;61429;73719;107
Insgesamt;  Raumplanung;2014;1412;2;1;1409;84;1325;-
Insgesamt;  Verkehrstechnik, Nautik;2014;6573;22;619;5931;1538;4393;-
Insgesamt;  Vermessungswesen;2014;2283;12;28;2243;612;1632;-
Insgesamt;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;1;-;1;-;-;-;-
Insgesamt;Kunst, Kunstwissenschaft;2014;6208;892;375;4908;1303;3605;33
Insgesamt;  Bildende Kunst;2014;538;15;4;519;-;519;-
Insgesamt;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;952;92;126;733;432;302;-
Insgesamt;  Gestaltung;2014;531;255;54;221;157;64;-
Insgesamt;  Kunst, Kunstwissenschaft allgemein;2014;709;-;-;709;252;457;-
Insgesamt;  Musik, Musikwissenschaft;2014;3478;530;191;2725;462;2263;33
Insgesamt;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;76356;2044;10244;61392;23866;37526;2676
Insgesamt;  Hochschule insgesamt;2014;4641;40;2671;1624;583;1041;306
Insgesamt;  Hochschulrechenzentrum;2014;1347;6;666;675;257;418;-
Insgesamt;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;18;18;-;-;-;-;-
Insgesamt;  Soziale Einrichtungen;2014;37;-;37;-;-;-;-
Insgesamt;  Übrige Ausbildungseinrichtungen;2014;2103;102;882;1119;77;1042;-
Insgesamt;  Zentral verwaltete Hörsäle und Lehrräume;2014;9;-;9;-;-;-;-
Insgesamt;  Zentralbibliothek;2014;4637;292;331;4013;980;3033;-
Insgesamt;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;2093;677;721;694;-;694;-
Insgesamt;  Zentrale Hochschulverwaltung;2014;40492;815;4173;33424;15641;17783;2080
Insgesamt;  Zentrale wissenschaftliche Einrichtungen;2014;20982;94;754;19843;6327;13515;291
Insgesamt;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;100931;-;96849;3535;1495;2040;546
Insgesamt;  Kliniken insgesamt, Zentrale Dienste;2014;82889;-;79261;3284;1495;1789;345
Insgesamt;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;2347;-;2096;251;-;251;-
